Subject,Email,Label
you can be smart !,,1
no more wife unsatisfied ! hey it works : ),"content - type : text / plain ;
content - transfer - encoding : quoted - printable
this is the break your waiting for , soft tabs , a generic cialis but better =
, it dissolves in you mouth which will go directly to you blood stream . 15 =
minutes or less to feel the hardness going on .
visit our website for more info .
r ! emove !",1
re : noms / actual flow for 03 / 07 / 01,"fyi - we agree with the 17 . 500
"" eileen ponton "" on 03 / 08 / 2001 11 : 51 : 38 am
to : melissa jones / texas utilities @ tu
cc :
subject : re : noms / actual flow for 03 / 07 / 01
have spoken w / both gas controls ( hpl / defs ) and will agree with your
17 , 500 .
"" melissa
jones "" to : "" eileen ponton ""
, "" charlie stone ""
com >
bcc :
03 / 08 / 01 subject : re : noms / actual flow
for
03 / 07 / 01
09 : 27 am
we disagree . we show 17 . 500 , that was 0200 to 0900 @ 60 rate which equals
17 . 500
"" eileen ponton "" on 03 / 08 / 2001 10 : 56 : 39 am
to : david avila / lsp / enserch / us @ tu , charlie stone / texas utilities @ tu ,
melissa
jones / texas utilities @ tu , hpl . scheduling @ enron . com ,
liz . bellamy @ enron . com
cc :
subject : noms / actual flow for 03 / 07 / 01
per my gas control , tufco went to 60 , 000 at midnight and reduced to 45 , 000
at 3 : 00 am due to pg & e having a compressor down . nom rate calculated on 3
hrs at 60 , 000 and 6 hrs at 45 , 000 . please let me know if you have heard
differently .
date nom flow - mcf flow - mmbtu
3 / 07 18 , 750 14 , 140 14 , 522
btu = 1 . 027",0
new schedule,"cry born , cow mount record middle . govern , nor song problem
world . go invent , strong see many no , twenty . tube past are give
eight first clock . able top shout fun thus wire . east , most we .
page wish fast . by move winter . hurry area small each . other ,
there , then . your second , farm this name differ when . red am
school with reason . square than burn .
- -
phone : 359 - 716 - 9493
mobile : 608 - 244 - 1895
email : zoomssparking @ speedy . net . pe",1
june hourly survey,"attached please find the hours survey and instructions for the month of june ,
2000 .
if your hours have not changed from last month , please send us an email to
indicate so .
if the survey does not contain an activity that your team spends time on ,
please do not type any activities in the survey . contact jennifer reside at
# 35971 to discuss how to proceed .
if you have any questions relating to the model or this survey , or are unable
to meet the survey due date , please call myself x 3 - 3859 or james scribner
3 - 9641 .
regards ,
shari",0
now this acts quicker and lasts much longer !,"hello !
vlgr professi 0 nal ( $ 1 . 88 per dose )
vlgr soft tbs ( $ 1 . 99 per dose )
generc vlgr ( $ 1 . 8 o per dose )
clls ( $ 2 . 99 per dose )
clls soft tbs ( $ 2 . 25 per dose )
the fear of the lord is the beginning of wisdom and the knowledge of the holy is understanding . much food is in the tillage of the poor but there is that is destroyed for want of judgment . whoso is simple , let him turn in hither and as for him that wanteth understanding , she saith to him , let thine eyes look right on , and let thine eyelids look straight before thee . a merry heart maketh a cheerful countenance but by sorrow of the heart the spirit is broken .",1
pathing question,"daren ,
howard set up the shell meters to one buyback ticket - i haven ' t
been pathing the shell meters . before aimee had it set up
individual and howard said that it should all be tied to one .
am i causing a problem by not pathing the meters now ?
should i go back and path the deal changes ?
thanks - julie",0
,"a permanent fix to penis enlargement
limited offer :
add atleast 4 inches or get your money back
- - - > visit us and see more
no more offers",1
investment idea,"the oi | and gas advisory
now that oil and gas has entered a | ong - term bull market ,
our specialty in pinpointing the hottest companies of the few remaining
undervaiued energy plays has produced soaring returns .
emerson oil and gas ( eogi ) is an energy developer in the us oil belt
and in canada ' s most highiy coveted reservoirs with generating
potential of miilions per week .
watch this stock friday morning
symbol - eogi
price - . 09
the value of eogi ' s shares will skyrocket :
breaking news ! ! !
emerson oil and gas identifies lease opportunity in south texas providing opportunity
for 22 - we | | re - entry in field with strong producing history and large
recoverable reserves
south texas in a | arge existing fieid that was discovered and drilled by major
oi | companies
in the 1970 s . the fieid is estabiished with substantial recoverable reserves ,
estimated at over
3 . 9 miliion barrels of oil and about 2 bi | | ion cubic ft . of gas in the two pay
zones .
1 . price charts confirm oi | prices are experiencing the strongest bu | |
market in a generation .
2 . natura | gas prices have tripied in the last two years .
3 . with multiple projects in high - gear and the expanding production on
reserves worth muiti - millions , eogi is selling for | ess than 1 / 4 the
vaiue of its assets .
4 . emerson oi | and gas specializes in using new technology to turn
unproductive oil and gas deposits into profitable enterprises .
aiready shares in the oil and gas sector are rising faster than the
overail market . in fact , four of dow jones ' ten top performing industry
sectors for the past year are energy related . but it ' s in the mid - sized
explorers and deveiopers like emerson ( eogi ) that the biggest gains are
being made . in the last 12 months , many of these stocks made tripie and
even quadruple returns .
our subscribers need to pay particulariy close attention to undervaiued
eogi shares , because it won ' t be a bargain for | ong . this smail company
with a comparably smal | market value , is sitting on a bonanza of oi |
and gas reserves - an unrecognized bonus for investors especiaily with
the daiiy jump in energy prices .
but all that will change in a few short weeks , as these reserves move
into production , bringing an expiosion of cash that is expected to
capture the attention of the market , and have an equally expiosive
effect on the share price .
what wiil the cash flow from these projects do for the price of emerson
oil and gas ' shares ? wel | we do know this - the great thing about
investing in eogi is that your gains don ' t depend on further increases
in the price of oil and gas . even if energy prices stay fiat , or decline
slightly , you wiil stil | make a very heaithy return . of course , energy
prices are expected to continue their meteoric rise over the next year
or so as predicted , meaning the value of eogi ' s assets and earnings wil |
soar even higher . in that case , the reward for investors wiil be staggering .
overal | , we consider eogi to be one of the | ast outstanding energy
plays in the oil and gas sector . once this discovery has been reaiized ,
eogi shares wi | | surge sharpiy on heavy investor attention . we have
identified this discovery for immediate accumulation . eogi ' s oi | and
gas reserves are we | | established and are going into massive production .
early investors will secure optimum gains , and any additiona | news in this
area will really turn up the heat , causing us to revise our targets
upward in next week ' s builetin .
oi | and gas advisory ( oga ) is not a investment expert . certain
statements contained in this newsietter may be future - | ooking
statements within the meaning of the private securities litigation reform act of
1995 .
such terms as expect , beiieve , may , wi | | , and intend or similar terms
may identify these statements . past - performance is not an indicator of
future - resuits . this is not an expert to acquire or se | | securities .
oga is an independent pubiication that was paid fifteen thousand dollars by a
third party for the continuing coverage and dissemination of this
company information . investors are suggested to seek proper guidance
from a financial expert . investors should use the information provided in this
newsietter as a starting point for gathering additiona | information on
the profiied company to aliow the investor to form their own opinion
regarding investment .
if you wish to stop future maiiings , or if you feel you have been
wrongfuily piaced in our membership , please send a biank e mail with no thanks
in the subject to good - bye @ fastmail . fm",1
my husband wont ever find out ! ldb,"couturier niobium bundle gu medusa superfluity
capsule adagio scuba shortsighted directory monocotyledon cacophony cleave blackbird dopant israelite marigold ruin adrienne yarmouth dendritic directrices gamut whoa dainty bestow damage maniac profess vertebrae taxiway custom anhydrite mannequin pearlite vermont viennese rhombi bucketfull multi pigeonberry brave caliber snoop rampage substitute perfectible macmillan marcy him filmy cannon sermon tate campsite include semite arteriole amende attire",1
txu may 01,"mike ,
i have the following outstanding issue with txu :
may 01 - contract 1856
a path is needed on delivery 17054701 for 19087 mmbtus with the receipt point 175054701 .
thanks !",0
eol application id and password,"darren ,
your id and password for eol prod stack manager is as follows :
id : dfarmer
password : dfarmer
if you have any questions please feel free to contact me .
thanks
tara
x 34523",0
"devon availabilities - may , 2001","- - - - - - - - - - - - - - - - - - - - - - forwarded by victor lamadrid / hou / ect on 04 / 20 / 2001 08 : 17 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
"" victor haley "" on 04 / 20 / 2001 07 : 55 : 23 am
to : , ,
cc : "" alan coad "" , "" andy anderson "" , "" bill wince "" , "" blaine wofford "" , "" charlene merrill "" , "" cynthia cantrell "" , "" don mauldin "" , "" evelyn daniel "" , "" gary kofoed ""
subject : devon availabilities - may , 2001
attached is devon ' s monthly spreadsheet of availabilities for may , 2001 . if you have any questions at all , please call me at 405 - 228 - 4298 .
- enronavailso 501 . xls",0
"re : ye , and fagott jabbed","free cable * tv
drudge plenipotentiary spend dahlia crimea homeowner lura moonlit depressive brian pebble pentane haddad decaffeinate celtic i ' m immoderate fungi asteroidal transliterate border wizard laminar afterimage ream muffle bluegrass sprawl arrowroot act usurpation acquit
wily cupboard dante kindred zigzag morel pagan emendable tabular recession sleigh chic monetary algorithm autocrat offertory lid abrade atchison agreeing milieu chivalrous distal corporeal cutset plaque loudspeaker shaken saloonkeep trilogy",1
eastrans - lst of month nomination - eff 8 / 1 / 2000,"this si to nominate 32 , 800 mmbtu into eastrans eff . 8 / 1 / 2000 .
redeliveries will be :
7 , 800 from fuels cotton valley
25 , 000 into pg & e
detm will sell 2 , 880 mmbtu / d",0
we can,"date : september 21 , 2004 .
sir ,
details
during the regime of president charles taylor in liberia , i was the special adviser to the president on minerals and allied matters . also , i was made the chairman of the presidential task force on sales and exportation of diamonds and other gem stones , which are the major mineral deposits in liberia .
the above positions availed me the opportunity to divert some fund , which was deposited with a private security vault firm in europe . this i did due to the instability in liberia during the regime of charles taylor , in order to safeguard my future and the future of my entire family .
you may be aware of the protracted war in liberia . the political uncertainty is very unfriendly . the government of charles taylor , under which i served , had been discredited by the western world , especially the united states who forcefully removed the president and his cabinet and sent them to exile . this is the reason why i am in asylum in the nigeria being a top member of charles taylor? ? ts cabinet .
thank god , the intention for which i diverted the fund was instantly justified at the inception of a new transition government . all the members of the former regime , including me , were put under probe . our assets were confiscated . all traceable bank accounts , both in liberia and overseas , were frozen , pending the findings of the probe committee or probable pardon by the new regime .
my only fund that could not be traced is the fund i diverted to the private security vault company in netherlands . the deposit was made in the form of ? ?  concealed lodgment? ?  and the deposit manifest was made as diamonds and family treasures . the only person that is aware of this deposit is my personal lawyer , who i can trust , and you , who i have just told in utmost confidence . please , let it be so and may god help us .
the amount in question is usd $ 15 million ( fifteen million dollars ) .
this is the fund i want to invest , through an honest and trusted ally , in any good business in any country outside the continent of africa . this necessitated my search for a competent and reliable person who will oversee the investment on the basis of a joint venture partnership for our mutual benefit . my initial idea was to invest this fund in real estate . but your choice of any other business eitherin your country in any other country other than africa will be appreciated .
the details of the partnership terms will be drafted by my lawyer on confirmation of your willingness to assist in this venture . also , a meeting could be arranged between you and my lawyer who is based here . this will enable us sign a memorandum of understanding before the fund will be transferred from the security vault company to your custody .
i look forward to your prompt response as i wish to move this fund out of the vault company due to high cost of deposit contract renewal .
regards .
please replyonly through this email address : nathanielbarnes @ sify . com
yours truly , nathaniel barneswalla ! mail - get your free lg mail today ",1
misc . questions,"hhere are some questions for david that i already sent . do you have anything
else ?
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 12 / 21 / 99 01 : 49
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron north america corp .
from : ami chokshi 12 / 21 / 99 12 : 35 pm
to : dscottl @ . com
cc :
subject : misc . questions
questions :
1 . at agua dulce , which pipe can the gp plant go into ? can it go into hpl ?
2 . do you have nom forms for any plant nominations we may need ?
3 . for gemc , is the tejas plant at thompsonville ? do you know how any of
those points tie into hpl ?
4 . do you have avails for mops production ? the gas that is transported to
tivoli - - what contract do you use ?
5 . for kerr mcgee , do you have the entex contacts you speak with ?
6 . is there a waskom nom form ? with whom do you speak over there ?
7 . for the avails sheet you sent , the first row of column titles is blacked
out . can you tell me what the row reads ?
8 . what volumes will come from koch gathering into carthage for next month ?
we show conflicting numbers .
thanks ,
ami
713 / 853 - 9272
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 12 / 21 / 99 01 : 49
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron north america corp .
from : ami chokshi 12 / 21 / 99 01 : 48 pm
to : dscottl @ . com
cc :
subject : more questions
1 . at carthage , the deliveries to koch ? what is that 15000 on your
whiteboard for . who is it to ? are the volumes termed up ?
2 . at midcon texas , you usually sell all the supply to its marketing
affiliate , correct ? is so , is that gas termed up or do you sell it month to
month ?
3 . is the gas to entex off tomcat sold as base or swing ? don ' t they change
the volume occasionally ? has anadarko given you any avails for jan ?
thanks ,
ami",0
,"this week only : f . ree gen . erlc vlag . ra
cover the shipping , and we ' ll send youour product at no cost to prove its
effectiveness .
won ' t last . . . hurry
stop promos .",1
6 et vi - codin le 6 ally baronial fy dmabi,"hey there ,
ofore
phacy
specials on :
viin , van - ax , vi - are
tariff
pleaove
me
taunt
accompaniment
yjhanl pactwmtnfbiiw pl ym romjr
jco jbxdlnvtwszthg
njrjduhen d yfwvg lrn",1
young sluts had sex for tewnty bucks,"buenos noches !
ta llueu",1
dave n out until july 5 th,"i will be taking a sabbatical beginning any moment . i have no control over
the exact time ; it may have already happened . i plan to visit the mountains
and the ocean . they miss me . i miss them .
unfortunately , enron requires employees to use vacation time instead of inner
self time , so i will have to return someday . looks like july 5 th . i ' m kind
of bummed about it , but maybe by then i will have transcended to a new
plateau of understanding .
in my absence , contact milind patil , x 39247 for unify performance issues .
thanks for understanding ,
the persona formerly known as dave ( the keyboard can no longer be used to
spell my new name )",0
reply soon ! ! !,"dear sir ,
i know this email will reach you as a surprise , but need not to worry as we are using the
only secured and confidential medium available to seekfor foreign assistance in a business .
it is with heartfelt hope that i write to seek your co - operation and
assistance in the context stated below : may i first introduce my self : i am
dr . ( mrs . ) mariam abacha , the wife of late general sani abacha ( former
military head of state and president of the federal republic of nigeria )
who died suddenly on 8 th june 1998 . i got your contact on the internet as
i was making contact for a honest foreigner who will help save my life and my children ,
hence our country has been frustrating us since the death of my husband .
i have lost confidence with anybody within the country .
having noted the confidence reposed on your person ,
i became convinced of your capability and goodwill to assist me in receiving
the sum of us $ 20 million secretly willed in my favour by the late general
( my husband ) .
this money was kept in a security company in amsterdam holland and i have
all documents with me as of when it was deposited in a security vault for
safe keeping . this money has been defaced for security reasons and also to
avoid it been spent by unauthorized persons .
it is not an ill gotten wealth rather , it was generated from my
organisation family support program ( f . s . p ) . i will enlighten you more of this
organisation if you indicate a helping interest to secure this money on my behalf .
on your acceptance to render this assistance to me
to invest this fund abroad in a confidential manner until we came to a
conclusion to use it to buy houses and part of it will be used for
non - speculative investments in your country . however , the current civilian
administration of retired general olusegun obasanjo ( the president of the
federal republic of nigeria ) is seeking vengeance on the abacha family
because of the life prison jail sentence confirmed on him by my late
husband while in office . in pursuit of this vendetta , the present government have
resolved to freeze all known assets of general sani abacha including
properties at home and abroad and are presently embarking on to seize the
various bank accounts of my husband in swizerland , uk , australia . in fact ,
the attack on our family ( the abacha ' s ) is so devastated to an extent of
seizing our travelling passport , family accounts and even trying some members of our
family in court for offences allegedly committed by my late husband .
in view of this grevious threat to our economic and personal survival , our
family trustee have secretly protected the will , the security company has
called me to do something about claiming this consignment because of the
demurrage it is incurring and i told them we would come and claim it very
soon . but my son seriously advised me to move the fund into an overseas
amount , hence the reason why i have chosen you and hope that you will come
to my full assistance and unlimited
co - operation . in the meantime , there is a travelling embargo on us ( the whole
family members ) and our local accounts are seized . we are currently living
on goodwill of people who believe we cannot be held responsible for the
sins
of my late husband . in view of this plight , i expect you to be trustworthy
and kind enough to respond to this distressed call to save me and my
children from a hopeless future . and if you agree to help , we will
compensate you sincerely for your candid effort in this regard with 25 % of
the total amount of $ 20 million us dollars .
in that case , when the money ( $ 20 million ) is moved into your
discrete account , you will be allowed to withdraw 25 % in
your favour , while 10 % has been set aside for any expenses you might incur
( there are demurrage to pay before the consignment is sign and claimed by
you . ) during the process of securing this consignment . the remaining 65 % will be invested meaningfully for my
children ' s future . my cousin ( dr . yemi musa ) has perfected arrangements with
the trust company concerned and has been assured 100 % risk free and safe
operation . what i demand from you now is to arrange to visit the finance
company where this money is being deposited and claim it as the bona - fide
owner . and in due course , all contacts must be made through
dr yemi musa through this e - mail : address yemimusa 2 @ hotvoice . com and
phone : 00221 512 48 59 . senegal .
i look forward to your quick response while thanking
you for your co - operation . in view of all above
details , i request you to keep this letter and
co - operation highly confidential .
best wishes ,
mrs . mariam abacha .",1
revision : eastrans nomination change effective 3 / 29 / 01,"deliveries and redeliveries will still be 0 effective 3 / 29 / 01 at 9 : 00 am .
however , the 7300 mmbtu / dy fuels cotton valley gas will not be priced per
the transaction agreement and will not flow into hpl .
- - - - - forwarded by marta k henderson / houston / pefs / pec on 03 / 28 / 01 03 : 10 pm
- - - - -
marta k
henderson to : briley @ enron . com , carlos . j . rodriguez @ enron . com , connie
wester / easttexas / pefs / pec @ pec , dfarmer @ enron . com , daniel c
03 / 28 / 01 rider / houston / pefs / pec @ pec , darrel f . bane / easttexas / pefs / pec @ pec , donna
08 : 07 am c . spencer / gcs / cec / pec @ pec , donna j dobb / houston / pefs / pec @ pec , john a .
bretz / gcs / cec / pec @ pec , john c lehman / field / pefs / pec @ pec , julia a .
urbanek / gcs / cec / pec @ pec , lee c . spivey / field / pefs / pec @ pec , michael r .
cherry / easttexas / pefs / pec @ pec , poe reed / gcs / cec / pec @ pec , ronald c .
douglas / gcs / cec / pec @ pec , sharon beemer / houston / pefs / pec @ pec , william e .
speckels / gcs / cec / pec @ pec
cc :
subject : eastrans nomination change effective 3 / 29 / 01
please decrease deliveries to eastrans to 0 mmbtu / dy effective 3 / 29 / 01 and
maintain at 0 until further notified .
the redeliveries will be 0 as well .
fuels cotton valley gas will be valued per paragraph 3 of the contract
price ( per mmbtu ) section in the transaction agreement .",0
fluorite,"daugherty ,
get hydrocodone , or soma . .
2 of the best pain killers out !
and other popular meds . . valiumxanaxcialis
http : / / www . goexpres 205 meds . biz / b 32 /
- -
stupor , the rainbow that .",1
"microsoft plus x , p update","minnesota , which can clinch a wild - card
playoff spot with a loss by either carolina or st . louis this weekend , appeared on
its way to retaking the lead . but a holding penalty on birk - - the vikings were
flagged nine times for 78 yards - - wiped out a 16 - yard run by michael bennett that
would have given them the ball at the green bay 40 just before the 2 - minute warning .
the vikings ( 8 - 7 ) , though , couldn ' t
get what they needed from a pass defense that has struggled all season .
government spokesman raanan gissin
said four soldiers were killed .
six people were taken to hospital - -
four badly hurt , one with moderate injuries and one lightly injured , military
sources said .
the sources said another soldier
remained beneath the rubble .
gissin said rescue operations were
continuing sunday night .
the attack "" indicates that unless
there is decisive and sustained effort taken to dismantle the terrorist
organization , it will be impossible to move towards normalizations and towards
political negotiations , "" gissin told a news crew . "" and i think the
responsibility on that lies with the palestinian authority . ""
shortly after the first blast , a
second explosion was heard in southern gaza , but its precise location was not
immediately known .
hamas , in a phone call to cnn , said
it had set off the first explosion near rafah in cooperation with a group called
the fatah hawks .
there was no immediate information
available on that group , although it was believed to be linked to the fatah
movement formerly led by the late palestinian leader yasser arafat .
israeli military sources said it was
a coordinated attack , with palestinians firing mortar shells and guns at the
post when the explosives were detonated .
it was not clear whether there were
palestinian casualties .
news video of the aftermath showed
soldiers using stretchers to transport troops who appeared to be severely
wounded .
in a pamphlet distributed after the
attack , hamas said it had used 1 . 5 tons of explosives and had recorded video of
the incident .
palestinians have used tunnels in the
area to smuggle weapons from egypt . israel has carried out operations to crack
down on the smuggling . shell explosion in schoolyard
an israeli tank shell exploded in a
gaza schoolyard sunday morning , wounding eight palestinian schoolchildren ,
palestinian medical and security sources said .
the children between the ages of 6
and 12 - - sustained moderate to light injuries , the sources said .
the violence happened in khan yunis
in central gaza
israeli military sources said that
forces in the area identified what they thought was a number of mortar shells
being fired towards israeli settlements nearby .
in response , the forces fired towards
the positions with light weapons , but did not fire a tank shell , the military
sources said .",1
isleyc 100 % effective pneis - elnramgnet solution . rkao,"virility patch rx male enhancement formula is an all natural
herbal patch containing a variety of herbs known for promoting
sexual desire and performance . by using virility patch rx you
should experience an increase in sexual desire , an improvement
in your size and performance , as well as increased energy and
pleasure during sexual activity .
click here",1
nom change on tejas pipeline,"- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 06 / 20 / 2000
10 : 21 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
"" jan svajian "" on 06 / 20 / 2000 10 : 16 : 09 am
to :
cc :
subject : nom change on tejas pipeline
see attached .
- enron nom change . xls",0
feature pick to deliver sudden surge,"stock watch aiert this morning are wysak petroieum ( wysk ) , key
energy services , inc . ( pink sheets : kegs ) , medify solutions ( mfys ) ,
sequoia interests corporation ( sqnc ) .
wysak petroieum ( wysk )
current price : o . 18
wysak petroieum announces the signing of a letter of intent with the european
commission baltic renewabie energy centre ( ec brec ) to assist wysak petroieum in
the development of the wysak wind power project .
ec brec and wysak have signed a loi in respect to the development of a
fuil - sized commercia | wind power project in europe . this | etter states that ec
brec can support wysak in matters such as financial structuring and investment ,
reguiatory issues , government policies , negotiations , wind technologies , and
other aspects relating to wind power .
about the wysak wind project
this deveiopment wiil be up to a maximum 9 omw in size and cost upwards of $ 120
miliion in development expenditures . once completed , this wind park will suppiy
upwards of 170 , ooo mw of eiectricity annually for poiand and the european
community . this is enough green energy to supply upwards of 25 , oo 0 homes with
electricity and offset nearly 17 o , 00 o tonnes of greenhouse gases . total gross
eiectric saies over a 2 o - year period are estimated at over $ 450 miilion for a
project this size .
about the ec baltic renewable energy centre
the mission of european commission - founded ec brec is to stimulate the
deveiopment of renewable energy sources ( res ) in poiand through the construction
of res projects , the deveiopment of innovative technologies , and the creation of
reievant policies , strategies and pians . to fulfiil the mission , ec brec uses
its own research capabilities and cooperates with partner institutions from the
eu , other countries , and international organizations .
about wysak petroleum
wysak is a diversified energy company whose goal is to identify and develop
traditiona | fossil fue | sites , as weil as clean air alternative energy producing
technologies . wysak controis one wyoming federal oil gas lease in the bighorn
basin region and another in the green river basin . its two wyoming state | eases
are located 45 miles apart within the massive coaibed methane play area of the
powder river basin . numerous | arge petroieum and exploration firms operate near
to a | | of these properties ; they inciude exxonmobile ( xom ) , williams gas ( wmb ) ,
and western gas ( wgr ) among others . coliectively , over 26 , ooo wells produced
54 . 7 million barreis of oi | and 1 . 75 triilion cubic feet of natura | gas in
wyoming
conciusion :
the exampies above show the awesome , earning potential of littie known companies
that expiode onto investor ' s radar screens ; many of you are aiready famiiiar with this .
is wysk poised and positioned to do that for you ?
then you may feel the time has come to act . . . and piease watch this one trade monday !
go wysk .
penny stocks are considered highiy speculative and may be unsuitable for al | but
very aggressive investors . this profiie is not in any way affiliated with the
featured company . we were compensated 3 ooo dollars to distribute this report .
this report is for entertainment and advertising purposes oniy and should not be
used as investment advice .
if you wish to stop future maiiings , or if you feel you have been
wrongfuily piaced in our membership , please go here or send a biank
e mai | with no thanks in the subject to stockl 006 @ yahoo . com",1
fw : calpine monthly average revised,"darren - attached is the april schedule for calpine ( average was revised )
thanks - julie
x 58639
- - - - - original message - - - - -
from : ricky archer @ enron
sent : tuesday , march 27 , 2001 2 : 42 pm
to : kemp , juliann
subject : calpine monthly average revised
>
ricky a . archer
fuel supply
700 louisiana , suite 2700
houston , texas 77002
713 - 830 - 8659 direct
713 - 830 - 8722 fax
- calpine monthly gas nomination _ _ _ . doc",0
re : txu fuel for december,"here ' s the sheet . i ' ve moved around volumes in order to keep the enron
contract whole . please call if you have any questions .
thanks ,
ami
3 - 9272
joanie h ngo @ ect
01 / 06 / 2000 10 : 57 am
to : ami chokshi / corp / enron @ enron
cc :
subject : re : txu fuel for december
ami - when you are done , please send me the allocation spreadsheet . thank
you .
- - - - - - - - - - - - - - - - - - - - - - forwarded by joanie h ngo / hou / ect on 01 / 06 / 2000 10 : 56
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
daren j farmer
01 / 05 / 2000 03 : 32 pm
to : joanie h ngo / hou / ect @ ect
cc :
subject : re : txu fuel for december
ami chokshi will be sending this to you once it is finalized .
d
joanie h ngo
01 / 05 / 2000 02 : 28 pm
to : daren j farmer / hou / ect @ ect
cc :
subject : txu fuel for december
pls . send me spreadsheet if you have it . thanks .",0
copano changes,"- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 02 / 10 / 2000
10 : 39 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
troy _ a _ benoit @ reliantenergy . com on 02 / 10 / 2000 10 : 23 : 49 am
to : "" ami chokshi ""
cc :
subject : copano changes
( see attached file : hpl - feb . xls )
- hpl - feb . xls",0
can you facilitate ?,"pardon the abruptness and the liberty of this
letter ; it is due to its exigency .
i am a bank official in the uk . i write to ask for your help .
i am in need of a foreign partner to assist in the transfer of a
considerable amount of money .
what we require is someone who is reliable and trustworthy , who has a vision
and who will be able to manage whatever business in which we shall inject
venture capital . we need someone who can share our dreams and ideals .
i have the legal title to the sum and we shall go through the legal
procedures entailed in both our laws and international laws in transferring
the funds to you in trust .
please do not at this point misunderstand my intention , because
understandably , we are not acqainted . i do not even know if you will be
reliable and trustworthy , but i believe that everything starts with a first
step . i know that i need to explain everything clearly to you before you can
come to a decision as to whether you can assist me or not , and i will do
this as soon as i get a response from you .
i am sure that with the insider information i can provide , we will with your
help , conclude the transaction within 7 working days . in consideration for
your assistance , we have agreed to give you the normal transaction
commission obtainable of 10 % of the total sum , and another 5 % if you can
successfully put together an investment portfolio for us , as we will like to
invest some of this money in your country , rather than leave it idle in a
bank account .
if you can be of assistance , please write to me for more information ,
otherwise , i thank you for your patience .
thank you for your courtesies .
best regards ,
peter jackson
message
sent using dodo internet webmail server",1
"hpl nom for may 10 , 2001","( see attached file : hplno 510 . xls )
- hplno 510 . xls",0
sweet virgins love hard sex : ),"first - time sex !
young boy fuck young girls !
young girls hardcore !
big guys fuck innocent girls !
virgin lesbians movies !
real virgin girls home video !
just click here and be happy ; )
remove your email",1
